screen_name,text,created_at,favorite_count,quote_count,reply_count
Awaesss,How ever #Israel claims that #IsraelUnderAttack which has resulted in #IsraelExposed .This was a response by #HamasTerrorists as a retaliation and self defence when #AqsaUnderAttack #GazzaUnderAttack #GazaUnderAttack #GazaUnderAttackk #Gaza_is_under_bombardment #Gaza was attacked,2021-05-14T03:42:38Z,0,NA,NA
dlrd227rt,"Today Top trend.!
Let's support Israel and tweet with...
#IsraelUnderAttack 
#FinishPalestine 
#IndiaStandWithIsrael",2021-05-14T03:41:45Z,1,NA,NA
etteth,"This idiot argues #IsraelUnderAttack was a religious creation. No it was a creation of the souls of millions of Jews murdered by Nazis and which Arab countries united to destroy. Why Indian ‘Nationalists’ Supporting Israel Need to Read History

https://t.co/tGU7ARl0zH",2021-05-14T03:41:14Z,0,NA,NA
Havvanu53265460,"Israel is an occupying state of terror.
#GenocideinGaza #GazzaUnderAttack 
#Palestine #Israel
 #IsraelUnderAttack  ?
it is not Israel that is under attack
it is the Palestinians who are under attack. do not be deceived by the lies of Israel, the murderer and the invader. https://t.co/OTclsxDL2N",2021-05-14T03:40:51Z,0,NA,NA
SohaibYounas076,"#IsraelTerrorist
#IsraelUnderAttack
This is the beginning. Once the Muslim Ummah is united, Then see what happens to you.
#PalestineUnderAttack
#GazzaUnderAttack
#freepalastine https://t.co/1hdx9bIOEa",2021-05-14T03:38:36Z,2,NA,NA
navinrv,"World media and Anti- Israel are continuously targeting Israel.
But the truth is,they are fighting for their existence
#IndiaStandsWithIsrael #StandWithIsrael #IsraelUnderAttack #IstandwithIsreal #HamasTerrorists",2021-05-14T03:38:19Z,1,NA,NA
Lester65800737,"@IrfanPathan Your so called palestini Humanitarian are launching a barrage of rockets on Israel... teach them about humanity also... 
Mr Humanitarian Pathan....
#IsraelUnderAttack",2021-05-14T03:38:15Z,1,NA,NA
IndiaIsraelConf,"#US  @POTUS  Biden says he doesn’t think #Israel overreacting in response to #Gaza rockets | The Times of Israel
#IsraelUnderFire
#IsraelUnderAttack 
#StandsWithIsrael
#IndiaWithIsrael
https://t.co/HqVbXHy3ln",2021-05-14T03:37:56Z,2,NA,NA
IndiaIsraelConf,"@StandWithUs #Hamas has increased the reach of their rockets by targeting newer areas this time. Civilian populations being targeted by these terrorists while they themselves continue to hide in civilians areas on the other side! Monsters! 

#IsraelUnderAttack
#IndiaStandWithIsrael",2021-05-13T14:55:34Z,3,NA,NA
IndiaIsraelConf,"@LTCEyalDror Our thoughts are with dear Israelis , every moment. A brave people who will do and have done whatever it takes to protect their homeland. G-d watch over ❤️🇮🇱
🇮🇳❤️🇮🇱

#IsraelUnderAttack
#StandWithIsrael
#IndiaWithIsrael",2021-05-13T15:09:17Z,3,NA,NA
IndiaIsraelConf,"@GeorgeDeek #Hamas has increased the reach of their rockets by targeting newer areas this time. Civilian populations being targeted by these terrorists while they themselves continue to hide in civilians areas on the other side! Monsters! 

#IsraelUnderAttack
#IsraelUnderFire",2021-05-13T15:01:04Z,7,NA,NA
IndiaIsraelConf,"@HananyaNaftali #Hamas is committing the most abhorrent of #WarCrimes &amp; #CrimesAgainstHumanity, by using children in #Gaza as human shields and firing from hospitals -while indiscriminately shooting rockets at children in #Israel! 

#IsraelUnderAttack 

cc. @IntlCrimCourt @hrw @amnesty @UN_HRC",2021-05-13T16:04:07Z,2,NA,NA
IndiaIsraelConf,"Please Join @TwitterSpaces to hear from Israelis living under Hamas rocket fire how they're coping in such challenging times. 
Also we can hear directly from  @Avigailcjm ma'am .

#Israelunderattack https://t.co/4GMcS5MHpy https://t.co/eofZIcCql0",2021-05-13T17:09:05Z,5,NA,NA
IndiaIsraelConf,"#Hamas and terror attacks on #Israel during #Ramadan: Is it to do with funding from the #Arab world? 
#IsraelUnderAttack 
#IndiaWithIsrael https://t.co/ZadQQhOj0B",2021-05-13T06:25:22Z,2,NA,NA
IndiaIsraelConf,"@vaibhavUP65 @IDF @majorgauravarya Thank you @vaibhavUP65 and 
@majorgauravarya sir 🙏🙏

For your stand with  🇮🇱 !
#Israel has every right to defend itself.

#IsraelUnderAttack
#StandWithIsrael 
#IndiaWithIsrael 
#IndiaStandWithIsrael",2021-05-13T08:18:10Z,12,NA,NA
IndiaIsraelConf,"Is @CNN shilling for Hamas ? 

#ısraelunderattack 
#IStandWithIsrael 
#IndiaWithIsrael https://t.co/E3vGzqKPN6",2021-05-13T09:05:19Z,0,NA,NA
IndiaIsraelConf,"@IsraelMFA #Hamas is committing the most abhorrent of #WarCrimes &amp; #CrimesAgainstHumanity, by using children in #Gaza as human shields and firing from hospitals - while indiscriminately shooting rockets at children in #Israel! 

#IsraelUnderAttack 
#IsraelUnderFire

 @UN_HRC",2021-05-13T14:38:14Z,3,NA,NA
IndiaIsraelConf,"The @IDF struck four anti-tank missile cells in Gaza as rockets pounded @TelAviv  today. 

#IsraelUnderAttack 
#IsraelUnderFire https://t.co/TEKfu13FiB",2021-05-13T15:11:17Z,2,NA,NA
IndiaIsraelConf,"@IsraelinIndia @Israel @IsraelMFA @DrRonMalka @RonyYedidia @israelinMumbai @IsraelBangalore RlP🙏🙏🕯️

#Hamas is committing the most abhorrent of #WarCrimes &amp; #CrimesAgainstHumanity,by using children in #Gaza as humanshields and firing from hospitals -while indiscriminately shooting rockets at children in #Israel! 
#IsraelUnderAttack 
#StandWithIsrael
#IndiaWithIsrael",2021-05-13T10:32:02Z,1,NA,NA
IndiaIsraelConf,"Step back from the brink, #UK tells #Hamas, #Israel and #Palestinians and 
told the #Islamist group to cease rocket attacks on the #Jewish state. -The Jerusalem post
#IsraelUnderAttack
#StandWithIsrael
 https://t.co/6j4aZknN4M",2021-05-13T06:29:16Z,2,NA,NA
IndiaIsraelConf,"#US: Senate Republicans urge President #Biden to end #Iran talks amid Hamas rocket salvos at #Israel.
#IsraelUnderAttack
#IsraelUnderFire

https://t.co/oZJsylIRF4 via @@i24NEWS_EN",2021-05-13T16:19:19Z,1,NA,NA
IndiaIsraelConf,"#Israeli PM Netanyahu is determined to prevent a different regime from emerging in this country. 

#IsraelUnderAttack
#StandWithIsrael 
#IndiaStandsWithIsrael

https://t.co/35kANDQV63",2021-05-13T01:51:16Z,9,NA,NA
IndiaIsraelConf,"#Hamas is committing the most abhorrent of #WarCrimes &amp; #CrimesAgainstHumanity,by using children in #Gaza as human shields and firing from hospitals -while indiscriminately shooting rockets at children in #Israel! 
#IsraelUnderAttack 

@IntlCrimCourt

@hrw

@amnesty

@UN_HRC",2021-05-13T14:42:32Z,4,NA,NA
IndiaIsraelConf,"@RonyYedidia @Froim The international community must demand Hamas ceases its brutal targeting of innocent civilians.

#IsraelUnderAttack
#IsraelUnderFire

@UNHumanRights",2021-05-13T14:45:21Z,2,NA,NA
IndiaIsraelConf,"#Israel calls on #UN to condemn Palestinian attacks from #Gaza 

#IsraelUnderAttack 
#StandWithIsrael 

https://t.co/qB8ooxoCYg via @i24NEWS_EN",2021-05-13T15:18:11Z,5,NA,NA
IndiaIsraelConf,"What would you do if your cities are under attack 

#IsraelUnderAttack 
#StandWithIsrael 
#IndiaWithIsrael 
#IndiaStandWithIsrael https://t.co/AeF3jKrnxb",2021-05-13T05:59:26Z,5,NA,NA
SirohiGulshan,"#Muslims' Mockery &gt;Behind #Allah-O-Akbar👇
Taliban= #Afghanistan
Hamas= #Palestine
ISI= #Pakistan
ISIS= #Syria

Instead of saying #HamasTerrorists they CRYING #IsraeliTerrorism ❓
Muslims shouting #GazaUnderAttack, in reality #IsraelUnderAttack
#EidAlFitr Gift👇 #IstandwithIsreal https://t.co/MwcY0mVNTS",2021-05-13T01:37:22Z,0,NA,NA
SirohiGulshan,"#Turkey's🇹🇷President Recep Tayyip Erdogan wants OIC to send stern message to #Israeli. #Erdogan sees🇮🇱 #Israel-#Palestine 🇵🇸conflict as opportunity to become Islamic Khalifa/Caliph.

But why #Turkish President silent on Genocide of #Uighurs Muslims in🇨🇳 #China? #IsraelUnderAttack https://t.co/fmoYpec9e4",2021-05-14T03:37:56Z,0,NA,NA
MendyIsrael,"@akeyak And your boss funded the Hamas rockets
#amYisraelChai #HamasTerrorists #IsraelUnderAttack",2021-05-14T03:37:34Z,0,NA,NA
Mahodeshireepa1,"Likewise, #Israelians and #Palestinians have engaged in destroying our country, in the name of caste-religion. And those who have come to know that it is their own responsibility. When will people change their mindset. When humanity ends.  #IsraelUnderAttack #PalestineUnderAttack",2021-05-14T03:36:36Z,0,NA,NA
MichaelHeimlich,@RepSchneider Thank you for your moral clarity and rightfully supporting the people of our American ally Israel! #IsraelUnderAttack #IsraelUnderFire #StandWithIsrael #Israel #AmericansForIsrael #StandUpAgainstTerror #HamasTerrorists #PalestinianTerrorism #Gaza,2021-05-14T03:35:20Z,0,NA,NA
Kauffman126,"Trump: ""Biden's Lack Of Support For Israel Spurred New Attacks"" - The Yeshiva World #israel #israelunderattack #israelunderfire  https://t.co/3KZ2BAB8If",2021-05-14T03:33:17Z,0,NA,NA
Kauffman126,⁦@SecBlinken⁩ tells Israel to avoid killing civilians. Israel is not killing Palestinian children. Hamas is by launching rockets. That should be the only message except it’s always Israel’s fault. #israel #israelunderfire #israelunderattack  https://t.co/oZQObrwuB3,2021-05-13T00:14:33Z,1,NA,NA
Kauffman126,"Check this out in the heart of Boca Raton. Van drives by with the phrase “hitler was right” plastered on its window. Folks, wake up. Antisemitism is alive in America and it’s not just from white supremacists. #Antisemitic #IsraelUnderAttack #israel #IsraelUnderFire https://t.co/cyg0zVgKrt",2021-05-13T19:46:54Z,0,NA,NA
Kauffman126,This is a serious provocation. #BREAKING #IsraelUnderAttack #IsraelUnderFire #Antisemitism https://t.co/NvYbbW86eZ,2021-05-12T22:07:40Z,0,NA,NA
Kauffman126,Biden says he spoke to @netanyahu and his expectation is the latest conflict will end soon but Israel has a right to defend herself. It’s like Israel can defend herself but only with limitations subject to the approval of @POTUS. #IsraelUnderAttack #IsraelUnderFire #israel,2021-05-12T22:10:46Z,0,NA,NA
RedEagl49743703,"When they say “proportional response” do they mean Israel should also fire 1600 rockets at civilian populations and send in suicide drones to main innocents? 🧐 

#IsraelUnderAttack https://t.co/Nr3XP45MFp via @FacebookWatch",2021-05-14T03:33:02Z,0,NA,NA
PJ_HINDU_,"Think before you greet Eid...
#ISupportIsrael 
#IndiaStandsWithIsrael 
#IsraelUnderAttack 
#IndiaWithIsrael https://t.co/xFarUYuwIB",2021-05-14T03:32:02Z,1,NA,NA
Onii_Senpaii,"The strange logic of Zionists and who support them
#GazaUnderAttack
#PalestineUnderAttack
#IsraeliTerrorism
#IsraelTerrorist
#IsraelPalestine
#IsraelUnderAttack https://t.co/RB6xvyP2lQ",2021-05-14T03:31:49Z,2,NA,NA
ziyauddin_AIMIM,"Israel is one who does not believe in the ghosts of the Latons ,,You want all Muslim country scores to be given a befitting reply to Israel. ,,,

#IsraelUnderAttack 
#IsraelTerrorist 
👇👇👇👇👇 https://t.co/dzXVJLeZ0i https://t.co/f1UPneMCPJ",2021-05-14T03:31:26Z,0,NA,NA
theblckcrusader,Keep bombing those terrorists. Long live Israel #IsraelPalestine #Israeli #IsraelUnderAttack #IsraelUnderFire #IsraelTerrorist #IsraelTerrorism https://t.co/33AJXrKrJV,2021-05-14T03:30:47Z,2,NA,NA
theblckcrusader,"Really? you're really going to show this while the terrorists shoot rockets at israel daily? 20 rockets an hour, rockets are not slingshots you dunce #Israel #IsraelUnderAttack #IsraelPalestine #Israeli #IsraelUnderFire #IsraelTerrorist #IsraeliTerrorism #IsraeliCrimes https://t.co/F34dkmHWqs",2021-05-13T14:28:06Z,3,NA,NA
theblckcrusader,@JoeBiden isn't going to address this. He isn't on the side of Israel. He's on the side of the people firing rockets at them daily. #IsraelUnderAttack #IsraelUnderFire #Israeli #IsraeliAttackonAlAqsa #IsraelTerrorism Fuck Palestine. Bomb them https://t.co/r6ZOHdpK8o,2021-05-13T04:18:42Z,0,NA,NA
